TaAlNi6 mp-1218041
SiNi3Mo2 mp-1219280
Hf2Cr3Si mp-1223823
Er2Mn3Ga mp-1225596
Al3BC mp-1228446
NiGeN2 mp-1245507
TiFeN2 mp-1246645
Sr2Si mp-13051
Y3AlNi8 mp-13096
K3TmSi2O7 mp-16598
Er2Fe17 mp-1724
Ni3Sn mp-20112
Ti6Sn5 mp-20382
Hg2BrN mp-23354
TbAg3H6C6(N2O)3 mp-23772
CsCrI3 mp-27259
K4I2O9 mp-27764
MoS2 mp-2815
FeWN2 mp-29076
Th5Sn4 mp-30874
Er5Si3 mp-31167
ScCuO2 mp-3642
CaCuAs mp-4120
Zr2CS mp-5025
Zr5Sn3 mp-510522
LaMg2Cu9 mp-510643
TbMg2Cu9 mp-542933
Ti3O mp-554032
Ba2AlInO5 mp-556282
Ba5Ru2Cl2O9 mp-556443
Ba5Ru2Br2O9 mp-558725
Pr2B3Cl mp-567730
La3MgBi5 mp-568964
MnGaPt mp-569151
Mg3Pt mp-569265
NdMn2 mp-569334
Cs3Ti2Cl9 mp-569484
Tb2Ni17 mp-569945
CsCrCl3 mp-570326
Te2Mo mp-602
K6Na3GaSb4 mp-6112
C mp-611448
Cs3Cr2I9 mp-621938
Be3N2 mp-6977
SrAl12O19 mp-6995
Sc2SO2 mp-7288
ScTlO2 mp-754384
ReB3 mp-7839
Zn mp-79
Ba4Sb2O9 mp-801028
Ru3W mp-862655
LaAu3 mp-864901
MgCo2 mp-864931
VIr3 mp-865496
LiH2N3O mp-867656
La3HfSb5 mp-9436
Sr3BPO3 mp-9702
LaP3 mp-973065
Ge3C mp-973155
LiLa3 mp-973415
Hf3Pt mp-974049
PrTm3 mp-975651
K3Rb mp-976115
Ce2Zn17 mp-978252
